,prod_0,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,prod_14,prod_15,n_week,week_year,month_year
17,667.14,687.01,626.91,499.7,617.19,913.47,355.43,453.78,6350.01,3930.82,6295.64,11858.37,0.0,0.0,0.0,20220.69,18,2020-18,2020-05
18,96.72,40.36,183.37,78.52,0.0,43.38,122.05,32.23,3832.22,1180.88,2928.92,7807.88,0.0,0.0,0.0,6247.98,19,2020-19,2020-05
19,433.82,251.94,445.43,287.27,70.97,307.4,179.71,160.2,13985.47,6869.12,5854.72,2213.54,0.0,0.0,0.0,15482.8,20,2020-20,2020-05
20,572.82,665.48,786.33,254.9,656.26,742.02,507.82,376.83,4279.82,3605.57,4255.61,1949.66,0.0,0.0,0.0,11010.01,21,2020-21,2020-05
21,482.38,344.26,395.53,174.0,317.28,186.09,181.96,53.61,7454.45,3797.71,2337.95,2799.37,0.0,0.0,0.0,10001.17,22,2020-22,2020-06
22,581.85,426.38,386.32,331.19,964.09,477.76,507.19,118.48,19607.5,20887.56,14973.47,22374.02,0.0,0.0,0.0,40183.33,23,2020-23,2020-06
23,504.06,373.11,461.95,382.91,920.19,597.81,248.38,241.25,7483.66,12150.36,13622.25,20203.52,0.0,0.0,0.0,30077.49,24,2020-24,2020-06
24,143.99,180.21,137.85,116.53,191.63,260.68,152.68,132.81,2829.03,1289.19,857.21,-2129.61,0.0,0.0,0.0,5646.97,25,2020-25,2020-06
25,240.33,127.04,170.06,113.96,505.22,307.32,211.24,197.14,7353.3,3692.14,3517.56,4338.24,0.0,0.0,0.0,15271.87,26,2020-26,2020-07
26,351.99,12.84,205.62,136.16,259.95,75.36,116.62,126.21,6550.9,275.3,6333.19,7858.77,0.0,0.0,0.0,15502.39,27,2020-27,2020-07
27,344.35,203.4,520.36,172.38,340.91,140.26,239.23,239.55,5524.39,2954.24,9504.63,11626.54,0.0,0.0,0.0,20866.4,28,2020-28,2020-07
28,587.79,600.58,468.33,331.82,591.6,510.36,501.88,475.06,2373.93,2011.96,-74.98,4723.67,0.0,0.0,0.0,15398.8,29,2020-29,2020-07
29,248.83,156.6,307.7,156.71,336.05,56.1,90.61,131.39,2356.67,1129.29,3375.83,8904.11,0.0,0.0,0.0,9160.01,30,2020-30,2020-07
30,38.09,0.0,303.68,160.72,127.59,45.82,175.66,89.45,1908.12,7814.51,3172.16,33903.9,0.0,0.0,0.0,17245.83,31,2020-31,2020-08
31,803.96,204.17,645.65,404.71,789.18,560.49,358.56,308.24,10416.71,10920.55,7102.66,47064.74,0.0,0.0,0.0,39118.6,32,2020-32,2020-08
32,166.57,282.73,225.26,45.74,477.51,355.78,252.29,84.9,-66.68,54.72,-96.43,4655.29,0.0,0.0,0.0,7102.52,33,2020-33,2020-08
